StudentID,Remarks
655,In love with his teaching skills. Always justifies the topic with examples.
656,Good faculty. 
657,Believes in practical  approach towards the academics.  Good faculty. 
658,Good faculty.
659,Sincere to their work
660,Sir should use a good one speaker because  in dictate it give us problem in hearing
661,Good
662,Mashallah
663,Good knowledge
664,8
665,10
666,5
667,7
668,10
669,Very good faculty 
670,Best faculty 
671,Hakimuddin sir is all about ANJUMAN 
672,Good
673,He is not good teacher
674,He is very good teacher
675,Good 
676,Good teacher
677,Good teacher
678,Dsp teaching knowledge is awesome 
679,Good teacher
680,Practical knowledge is good
681,Practical knowledge is good
682,"Just need to control the class
"
683,Great knowledge  ??
684,Great teaching skills ... 
685,Very slow speed... Portion not completed... Lack of sincerity and dedication 
686,Only 3 units completed.. No extra classes taken 
687,"The students don't have any knowledge of the practicals, the equipments or even the sequence of practicals "
688,excellent 
689,EXCELLENT
690,The best sir in our extc department students supportive gives us good guidance. 
691,The most loyal sir to the department.
692,awesomeeee ..sir ..he gives good guidance.
693,Most helpfull mam :)
694,Most knowledgeable sir in anjuman.
695,"Man gives good guidance about subject. .
especially regarding theses ...thaankuu mam :)"
696,Best Teacher
697,improvement in writing...
698,very good sir keep it up
699,good
700,good
701,good
702,keep it up sir u have lot of patience
703,excellent
704,good
705,excellent
706,excellent
707,super
708,good
709,excellent
710,very good
711,very good
712,Best 
713,Best
714,Nice
715,Great
716,NICE
717,"thank you  Sir 
for giving us knowledge about MTD
 and giving US funny teaching environment...  "
718,THANK YOU SIR.
719,THANK YOU SO MUCH SIR 
720,BEST....TAREEF KARO KYA USKI JISNE APP KO BNAYA........WOW
721,SIR ......U R ROCK......WOW
722,SMARTY.....WOW
723,SMARTY ... ALWAYS HAPPY ..........SIR APP KI TAREEF MAI JITNA LIKHO KUM HAI.......SIR JI.....U R ROCK 
724,SINCER  ALWAYS 
725,SIR U R ROCK 
726,SIR APP BHOUT LIKHATE HO .......THODA KUM LIKHAYA KARO 
727,SIR APP KA SAHI  HAI 
728,NO COMMENTS
729,PHOTO KUM LIA KARO SIR JI............
730,Good lecturer
731,brilliant
732,good
733,superb
734,not bad
735,good
736,good
737,bad
738,no
739,VERY HELPFUL PERSON
740,EXPERIENCED PERSON
741,GOOD BUT VERY TALKATIVE
742,GOOD
743,please try to understand the problems of students n try to be polite
744,rock sir
745,dont do partiality
746,"Very good 
Veery humble
Very caring nature about students"
